=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 500
GRAM prealloc (Phase 2 candidate B): ON
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 3983.10 ms
  Set 2: 4218.49 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
252  |   255 |    4299 |    7065     506    7065 |    1012     506    1012 |    0.1   24.2    1.2
253  |   254 |    4298 |    7074     506    7074 |    1012     506    1012 |    0.2   23.9    1.0
254  |   255 |    4311 |    7085     508    7085 |    1015     508    1015 |    0.2   22.5    0.9
255  |   254 |    4298 |    7067     506    7067 |    1012     506    1012 |    0.1   24.0    0.9
256  |   255 |    4312 |    7088     507    7088 |    1015     507    1015 |    0.1   23.0    0.9
257  |   255 |    4318 |    7091     507    7091 |    1015     507    1015 |    0.2   23.7    0.9
258  |   255 |    4307 |    7080     507    7080 |    1014     507    1014 |    0.2   22.8    0.9
259  |   255 |    4292 |    7075     506    7075 |    1013     506    1013 |    0.2   22.4    0.9
260  |   255 |    4323 |    7084     508    7084 |    1016     508    1016 |    0.1   21.8    0.9
261  |   255 |    4322 |    7093     508    7093 |    1015     508    1015 |    0.2   23.6    0.9
262  |   255 |    4315 |    7076     508    7076 |    1017     508    1017 |    0.2   23.5    0.9
263  |   255 |    4320 |    7092     507    7092 |    1015     507    1015 |    0.1   22.6    0.9
264  |   255 |    4303 |    7078     508    7078 |    1016     508    1016 |    0.1   23.3    0.9
265  |   254 |    3002 |    6045     506    6045 |    1012     506    1012 |    0.1   16.9    0.8
266  |   255 |    2737 |    5978     507    5978 |    1013     507    1013 |    0.2   16.5    0.8
267  |   252 |    4262 |    6030     505    6030 |    1010     505    1010 |    0.1   16.5    0.8
268  |   254 |    2769 |    6056     506    6056 |    1012     506    1012 |    0.1   17.5    0.8
269  |   255 |    4314 |    7080     507    7080 |    1013     507    1013 |    0.1   23.4    0.9
270  |   255 |    3550 |    7083     508    7083 |    1017     508    1017 |    0.2   17.3    0.8
271  |   254 |    4259 |    7017     506    7017 |    1014     506    1014 |    0.2   16.6    0.8
272  |   255 |    3283 |    7076     507    7076 |    1014     507    1014 |    0.1   23.2    0.9
273  |   255 |    2770 |    6065     507    6065 |    1013     507    1013 |    0.1   17.5    0.9
274  |   255 |    4274 |    6055     506    6055 |    1013     506    1013 |    0.2   17.2    0.8
275  |   254 |    4307 |    7074     507    7074 |    1014     507    1014 |    0.1   23.6    0.9
276  |   253 |    4287 |    7061     506    7061 |    1011     506    1011 |    0.1   23.1    0.9
277  |   254 |    2755 |    6029     506    6029 |    1012     506    1012 |    0.1   16.4    0.8
278  |   255 |    4320 |    7094     508    7094 |    1015     508    1015 |    0.2   17.8    0.8
