=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2035.81 ms
  Set 2: 2033.84 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
282  |   194 |    3284 |    5375     385    5375 |     770     385     770 |    0.1   12.7    2.7
283  |   194 |    3272 |    5362     384    5362 |     769     384     769 |    0.1   12.7    2.7
284  |   194 |    3280 |    5375     385    5375 |     769     385     769 |    0.1   13.4    2.8
285  |   194 |    3285 |    5377     385    5377 |     771     385     771 |    0.1   12.4    2.7
286  |   194 |    3279 |    5364     384    5364 |     769     385     769 |    0.1   12.5    2.7
287  |   194 |    3259 |    5362     384    5362 |     769     384     769 |    0.1   12.2    2.6
288  |   194 |    3257 |    5362     385    5362 |     770     385     770 |    0.1   12.4    2.6
289  |   194 |    3276 |    5359     385    5359 |     769     385     769 |    0.1   12.3    2.7
290  |   194 |    3277 |    5377     385    5377 |     770     385     770 |    0.1   13.3    3.1
291  |   194 |    2501 |    5363     387    5363 |     773     387     773 |    0.2   15.6    2.9
